City_ID,City,Max Temp,Description,Lat,Lng,Hotel Name
411,Sumbe,71.46,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
412,Rio Cuarto,59.83,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
413,Carros,82.31,clear sky,43.7894,7.184,Lou Castelet Restaurant
414,Ferreira Do Alentejo,85.78,clear sky,38.05,-8.0333,Herdade da Serra
415,Najran,89.46,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
416,Remiremont,72.66,overcast clouds,48.0175,6.5882,ibis budget Remiremont
417,Cambrils,85.64,scattered clouds,41.0748,1.0524,Sol Port Cambrils
418,Puerto Madryn,49.89,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
419,Kotma,76.05,overcast clouds,23.2,81.9667,Abhishek dwivedi
420,Vesoul,72.5,overcast clouds,47.5833,5.8333,Camping Municipal La Louvière
421,Korhogo,81.52,light rain,9.45,-5.6333,Hôtel Tchinbota
422,Esmeraldas,74.26,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
423,Mwinilunga,68.43,few clouds,-11.7358,24.4293,Kwakuwahi Lodge
424,Astana,73.35,clear sky,51.1801,71.446,King Hotel Astana
425,Tabou,78.13,overcast clouds,4.423,-7.3528,hotêl doufoulougou
426,Ambikapur,75.51,overcast clouds,23.1167,83.2,STARiHOTEL Ambikapur
427,Hurghada,87.39,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
428,San Carlos De Bariloche,41.18,overcast clouds,-41.1456,-71.3082,Hotel Patagonia
430,Lalibela,60.01,moderate rain,12.0333,39.0333,Honey Land Hotel Lalibela
431,Geraldton,54.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
433,Trinidad,92.91,clear sky,-14.8333,-64.9,Hotel Piesta
434,Rocha,65.46,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
435,Jaunjelgava,69.51,few clouds,56.6167,25.0833,Wild Duck
436,Rayagada,78.6,broken clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
438,Uige,78.12,clear sky,-7.6087,15.0613,Hotel Catraio
439,Manoharpur,85.15,overcast clouds,27.3,75.95,कैथल हरियाणा होटल
440,Yenagoa,79.97,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
442,Coueron,67.21,broken clouds,47.2151,-1.7217,La tremière
444,Andros Town,85.96,overcast clouds,24.7,-77.7667,Hanks place
445,Mahibadhoo,82.72,overcast clouds,3.7833,72.9667,Omadhoo Inn
447,Khash,90.48,broken clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
448,Kargil,69.67,scattered clouds,34.5667,76.1,Caravan Sarai
450,Puerto Colombia,84.13,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
451,Hofn,53.65,overcast clouds,64.2539,-15.2082,Hótel Höfn
452,General Delgado,85.08,clear sky,-27.1667,-56.5167,Andreea Patricia Estate
453,Zvenigovo,61.75,broken clouds,55.9742,48.0181,"Motel' ""U Petrovicha"""
455,Visby,72.05,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
456,Jumla,65.61,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
458,Salym,56.64,overcast clouds,60.0625,71.4789,Gostinitsa Salym
459,Diffa,90.48,broken clouds,13.3154,12.6113,ProDAF/Diffa
460,Labrea,97.7,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
461,Port Perry,74.32,broken clouds,44.1068,-78.9444,Willow Pond B&B and Wedding & Event Planners
462,Ericeira,78.48,clear sky,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
463,Ginir,56.71,overcast clouds,7.1333,40.7,Sura Dare Village
464,Porto Novo,79.57,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
465,Galle,78.85,broken clouds,6.0367,80.217,Amangalla
466,Warrington,76.26,few clouds,53.3925,-2.5802,Patten Arms Hotel
468,Progreso,93.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
469,Mabaruma,83.77,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
470,Alghero,89.69,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
473,Bobo Dioulasso,80.82,light rain,11.1771,-4.2979,RAN Hotel Somketa
474,Coruripe,78.21,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
476,Moroni,74.03,light rain,-11.7022,43.2551,Hotel les Arcades
477,The Valley,85.86,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
478,Quatre Cocos,67.08,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
480,Mubende,70.79,broken clouds,0.5606,31.39,Nakayima Hotel
481,Bud,86.18,clear sky,39.447,-86.1758,Ted McQuinn Trust
483,Botelhos,75.02,clear sky,-21.6333,-46.395,Hotel Prata de Minas
484,Miguel Alves,94.64,scattered clouds,-4.1656,-42.8953,PAIN POUSADA E RESTAURANTE
486,Mayumba,72.37,scattered clouds,-3.432,10.6554,LIKWALE LODGE
487,Menongue,64.83,clear sky,-14.6585,17.691,Ritz Lauca
488,Jaru,97.43,scattered clouds,-10.4389,-62.4664,Hotel Paraná
489,Altay,68.14,clear sky,47.8667,88.1167,Jinqiao Hotel
491,Bayir,81.12,broken clouds,37.2687,28.2167,Hotel Babadag
493,Aksu,87.13,clear sky,41.1231,80.2644,Pudong Holiday Hotel
494,Pandamatenga,60.6,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
497,Vuktyl,47.21,broken clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
498,Buraydah,99.73,clear sky,26.326,43.975,فندق راحة السلام
500,Santa Luzia,74.3,clear sky,-19.7697,-43.8514,Pousada Chao Earth
501,Mattawa,83.35,clear sky,46.7379,-119.9028,Sun & Sand Mobile Home Park
502,Lieksa,61.36,overcast clouds,63.3167,30.0167,Kaatrahovi
503,Aleksandrov Gay,76.8,few clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
504,Kabinda,78.48,clear sky,-6.1333,24.4833,Village Mianda Mutole
505,Laives,84.18,scattered clouds,46.4228,11.3348,Hotel Steinmannwald
506,Krosno,77.05,broken clouds,49.6887,21.7706,Miły Hotel
508,San Ramon,80.82,clear sky,37.7799,-121.978,San Ramon Marriott
